PC Model,Unit Price,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
HP Elite SFF 800 G9 PC (4G087AV),3690,0,0,0,0,0,0,0,0,3690,0,0,0
LIFE BOOK U9313,4130,0,0,82600,0,0,61950,0,0,41300,0,0,0
ThinkPad L13Gen2,4200,0,0,21000,0,0,12600,0,0,8400,0,0,0
ThinkPad X13 Gen 4,4010,0,0,40100,0,0,60150,0,0,20050,0,0,0
TOTAL,,0,0,143700,0,0,134700,0,0,73440,0,0,0
