PC Model,Unit Price,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
LIFE BOOK U9313,4130,0,8260,0,0,0,0,0,0,0,0,0,0
TOTAL,,0,8260,0,0,0,0,0,0,0,0,0,0
